,Feature,Importance,inner,outer
66,STAT5,-0.00012829254537760626,3,0
67,PPARG,-0.00013628470090665257,3,0
68,DC,-0.00014245263784284923,3,0
69,PDPK1,-0.00014983614645658339,3,0
70,HSP90AA1,-0.0001591987341630352,3,0
71,EGFR,-0.00017090346402515166,3,0
72,PAX7,-0.00017198827265396677,3,0
73,CTNNB1,-0.00017831049113226083,3,0
74,RND1,-0.00018352557002432324,3,0
75,RELA,-0.00018911073269511913,3,0
76,APC,-0.00019932862033567034,3,0
77,DVL1,-0.00025630693010292305,3,0
78,BCLXL,-0.00026125047171510207,3,0
79,YAP1,-0.00027449210956631553,3,0
80,TSC2,-0.00028722562113703276,3,0
81,IGF1,-0.0002874471783406163,3,0
82,TWIST1,-0.00029883771702887696,3,0
83,HER2,-0.0003124026271448255,3,0
84,MEK_i,-0.000333332575544798,3,0
85,CASP8,-0.0003380117296405416,3,0
86,HRAS,-0.0003600326383086383,3,0
87,PIM,-0.00036998888117767414,3,0
88,JAK2,-0.00037128461620028474,3,0
89,SRC,-0.0003804798052523539,3,0
90,MYOD1,-0.00039767478461227856,3,0
91,BIM,-0.0003994052801409298,3,0
92,PTEN,-0.00041806243596287374,3,0
93,RHEB,-0.00042128983675071563,3,0
94,GATA3,-0.0004296891698524208,3,0
95,LATS1,-0.0004323795368358363,3,0
96,BAD,-0.00044852879540124846,3,0
97,NOS3,-0.0005193819619735418,3,0
98,EIF4E,-0.0005259284733686309,3,0
99,FADD,-0.0005355366519593785,3,0
100,CREB1,-0.000544048463779423,3,0
101,LCK,-0.0005682454799760261,3,0
102,INSR,-0.0005866058323817924,3,0
103,NFKB1,-0.0005895876780521725,3,0
104,PI3K_c,-0.0006396254402012413,3,0
105,INS,-0.0006412015165230267,3,0
106,PIP3,-0.0007645807383713787,3,0
107,AXIN1,-0.0008422688373664888,3,0
108,SGK1,-0.0008426772002425587,3,0
109,KMT2D,-0.0011771291778714943,3,0
110,BID,-0.0012010597425901048,3,0
111,FOXO1,-0.0012069414859857686,3,0
112,PG,-0.0013394460362833316,3,0
113,PRKAA2,-0.0014298188255049693,3,0
114,NF1,-0.002113904489312479,3,0
115,JUN,-0.003152716729277971,3,0
116,MTORC1_c,-0.005832494550766176,3,0
0,PGR,0.12773645678891388,4,0
1,IGF1R,0.018048274748501014,4,0
2,FOXO3,0.008474781215596305,4,0
3,NFKB1,0.007893749068022093,4,0
4,MTORC1_c,0.004018526737933903,4,0
5,PTEN,0.002939299129278816,4,0
6,EGF,0.0021244541047072962,4,0
7,HES1,0.0020866853652016237,4,0
8,BAK1,0.0019003746456911497,4,0
9,INS,0.001688171655384263,4,0
10,TSC2,0.0016805704448860093,4,0
11,DLL_i,0.0016350588083290374,4,0
12,BAX,0.0015256617760314173,4,0
13,ES,0.0015073800354967748,4,0
14,JUN,0.0013428427993525949,4,0
15,EIF4E,0.000995554993350245,4,0
16,SRC,0.0008995847087353015,4,0
17,BIM,0.0008941327102787167,4,0
18,NOTCH1,0.0008312492560734741,4,0
19,SOS1,0.0008196784655976064,4,0
20,PIM,0.0007559663589782328,4,0
21,AKT_i,0.0007488162266884313,4,0
22,RND1,0.0007114738610141114,4,0
23,TWIST1,0.000631122414991081,4,0
24,CASP8,0.0005904827561517001,4,0
25,WNT1,0.0005152005270999682,4,0
26,HEY1,0.0005078435390396541,4,0
27,IRS1,0.000488224601753684,4,0
28,PAK1,0.0004797199463123514,4,0
29,PDPK1,0.0004579312038354155,4,0
30,STK11,0.0003972464909418605,4,0
31,BID,0.00036635613631852415,4,0
32,PRB,0.00035472936120128917,4,0
33,RAF1,0.0003270032484778973,4,0
34,CASP9,0.00029935431307093197,4,0
35,IL6R,0.000279544140027288,4,0
36,ABL1,0.00027422054134706997,4,0
37,KMT2D,0.00024650983134377746,4,0
38,JAK2,0.00023952088241907532,4,0
39,BCL2,0.00023780843116028016,4,0
40,CYCS,0.0001915705242349075,4,0
41,PPARG,0.0001642173548900283,4,0
42,LATS1,8.109823567759022e-05,4,0
43,BCLXL,6.283599066503331e-05,4,0
44,RHEB,5.380386376774293e-05,4,0
